source,data_type,data_status,chemistry,SOC_pct,fuel_sum_volpct,known_gas_sum_volpct,LFL_calculated_fuel_basis_volpct,LFL_calculated_vent_known_basis_volpct,LFL_calculated_missing_as_N2_volpct,LFL_experimental_volpct,UFL_experimental_volpct,calculation_method,calculation_note
Table1_NCM111_100SOC,literature_gas_composition_only,verified,NCM111,100.0,54.3,97.3,4.755,8.521,8.761,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM523_100SOC,literature_gas_composition_only,verified,NCM523,100.0,64.9,97.6,5.866,8.822,9.038,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM622_100SOC,literature_gas_composition_only,verified,NCM622,100.0,59.0,98.1,5.129,8.532,8.697,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM811_100SOC,literature_gas_composition_only,verified,NCM811,100.0,68.8,100.5,5.436,7.946,7.906,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM9-0.5-0.5_100SOC,literature_gas_composition_only,verified,NCM9-0.5-0.5,100.0,73.8,98.9,6.307,8.443,8.54,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_LFP_100SOC,literature_gas_composition_only,verified,LFP,100.0,76.0,100.0,4.259,5.604,5.604,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM523_100SOC,literature_gas_composition_only,verified,NCM523,100.0,66.0,100.0,5.584,8.461,8.461,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM622_100SOC,literature_gas_composition_only,verified,NCM622,100.0,63.0,100.0,6.448,10.235,10.235,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM811_100SOC,literature_gas_composition_only,verified,NCM811,100.0,68.0,99.0,4.639,6.754,6.822,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
Table1_NCM9-0.5-0.5_100SOC,literature_gas_composition_only,partially_extracted_gas_sum_below_85,NCM9-0.5-0.5,100.0,75.0,77.0,6.088,6.251,8.117,,,Le Chatelier mixing rule (ISO 10156),LFL单位为vol%；fuel_basis仅考虑可燃组分归一化；vent_known_basis含CO2稀释修正；missing_as_N2假设缺失气体为惰性N2；所有结果为教学估算，不用于真实工程安全判定
